;;;;;;;;;;;x;;;;
EVTNAME123000;The Commune is here!;;;;;;;;;;x;;;;
EVTDESC123000;In the wake of the revolution, the whole social order has turned upside down. Workers are dancing in the streets, and the old elites are withdrawing to their estates, scowling. While we can't expect much help in the future from the old regime's plutocrats, we are hopeful that the People will be able to step into the breach.;;;;;;;;;;x;;;;
EVTOPT123000;Hurrah for the People!;;;;;;;;;;x;;;;
EVTNAME123001;The Markets are freed!;;;;;;;;;;x;;;;
EVTDESC123001;After the tumult of the revolution, order has at last been restored. People are settling down and returning to their natural place in society.;;;;;;;;;;x;;;;
EVTOPT123001;Thank goodness sanity has returned!;;;;;;;;;;x;;;;
EVTNAME123002;Anarchist Printing Press;;;;;;;;;;x;;;;
EVTDESC123002;An anarchist organization has covertly set up a press and begun distributing their incendiary publications across the country. Worse still, some people are reading their drivel!;;;;;;;;;;x;;;;
EVTOPTA123002;Say, this is riveting stuff!;;;;;;;;;;x;;;;
EVTOPTB123002;Try to find the press and shut this down!;;;;;;;;;;x;;;;
EVTNAME123003;Anarchist Soup Kitchens;;;;;;;;;;x;;;;
EVTDESC123003;Anarchists have taken advantage of our unfortunate unemployment problems to provide their own relief services for people hard-hit by economic uncertainty. Some people are taking them up on their offer.;;;;;;;;;;x;;;;
EVTOPTA123003;Let the poor have their soup.;;;;;;;;;;x;;;;
EVTOPTB123003;We must stop these anarchists!;;;;;;;;;;x;;;;
EVTNAME123004;Propaganda of the deed!;;;;;;;;;;x;;;;
EVTDESC123004;An anarchist had assassinated a government minister! The assassin refused to recant his views after his capture, and even as he was marched to the gallows, he called for people to rise up against the government.;;;;;;;;;;x;;;;
EVTOPTA123004;Crack down on these anarchists!;;;;;;;;;;x;;;;
EVTOPTB123004;Meh. That minister wasn't that great a loss...;;;;;;;;;;x;;;;
EVTNAME123005;Constitutional Crisis - Anarchist Monarchy;;;;;;;;;;x;;;;
EVTDESC123005;Anarchists have somehow won control of the government. Unsurprisingly, they object vehemently to the monarchy on general principal, and have vowed to forge a new People's Government. This cannot be allowed to stand!;;;;;;;;;;x;;;;
EVTNAME123006;Parliamentary Crisis - Anarchist Republic;;;;;;;;;;x;;;;
EVTDESC123006;Anarchists have somehow won control of the government! They object vehemently to what they call the "bourgeois state", and have vowed to form a goverment (or "federation", there seems to be some debate on terms) of the People. We can't allow this- can we?;;;;;;;;;;x;;;;
EVTNAME123007;Conservatives reject the government;;;;;;;;;;x;;;;
EVTDESC123007;Decrying the government as 'illegitimate' and 'criminal', prominent conservatives have refused to participate in national elections, and have encouraged their supporters to boycott the vote. While some conservative voters have taken heed, others have simply lost enthusiasm for the cause.;;;;;;;;;;x;;;;
EVTOPTA123007;That's their loss;;;;;;;;;;x;;;;
EVTNAME123008;Conservatives return;;;;;;;;;;x;;;;
EVTDESC123008;Excited by the return of 'legitimate authority', leading conservatives have come out of the woodwork to endorse the new national government and encourage conservatives to express their support at the ballot box.;;;;;;;;;;x;;;;
EVTOPTA123008;OK.;;;;;;;;;;x;;;;
EVTNAME123009;Liberal Schism;;;;;;;;;;x;;;;
EVTDESC123009;The nation's liberals have split over how to acknowledge the new revolutionary government. Some reject any recognition of it, much less participation in it, while others believe that it must be engaged with for the sake of political reform. Some go even further, and have joined their Radical colleagues in agitating for radical protections of liberty and equality without getting bogged down in 'materialist' concerns like a minimum wage and pensions.;;;;;;;;;;x;;;;
EVTOPTA123009;Interesting.;;;;;;;;;;x;;;;
EVTNAME123010;Liberals Reconciled;;;;;;;;;;x;;;;
EVTDESC123010;The old wounds of the revolutionary regime have begun to fade, and many of the differences which had caused the nation's liberal movement to splinter have begun to heal. Many liberal defectors to the Radicals have returned to the fold, and old supporters are re-energized and ready to vote at the ballot box again.;;;;;;;;;;x;;;;
