some_fake_1836_title_1;Opiate update!;;;;;;;;;;;;;x
some_fake_1836_1;Opium craze sweeps China, traders state it’s long journey, but worth the trip.;;;;;;;;;;;;;x
some_fake_1836_title_2;Ether craze;;;;;;;;;;;;;x
some_fake_1836_2;Popularity of ether frolics on the rise, pundits claim “It’s a gas!”.;;;;;;;;;;;;;x
some_fake_1836_title_3;Sweet Dreams;;;;;;;;;;;;;x
some_fake_1836_3;First use of general anaesthesia in an operation, surgeon in USA puts patient to sleep for tumour removal.;;;;;;;;;;;;;x
some_fake_1836_title_4;Code words;;;;;;;;;;;;;x
some_fake_1836_4;World’s first electrical telegraph message sent in USA by Samuel Morse in the USA.;;Erste elektr. telegrafische Nachricht der Welt von Samuel Morse in den USA gesendet.;;;;;;;;;;;x
some_fake_1836_title_5;Meatballs: NOT an aphrodisiac?;;;;;;;;;;;;;x
some_fake_1836_5;A new study out suggests that customary Gothic meatballs are not, despite traditions to the contrary, aphrodisiacs. This has aroused much criticism.;;;;;;;;;;;;;x
some_fake_1836_title_6;Out now!;;;;;;;;;;;;;x
some_fake_1836_6;“Darkend Souls” released in Japan, critics claim it is too difficult.;;;;;;;;;;;;;x
some_fake_1836_title_7;Woodwind or Brass?;;;;;;;;;;;;;x
some_fake_1836_title_8;Gold rush!;;;;;;;;;;;;;x
some_fake_1836_8;Gold discovered along the North American Pacific Coast. Masses of prospectors are expected to rush to the area!;;;;;;;;;;;;;x
some_fake_1836_title_9;'Ill Corw' published;;;;;;;;;;;;;x
some_fake_1836_9;A grim tour-de-force, this Avallonian latest short story is sure to raise the hairs on the back of your neck.;;;;;;;;;;;;;x
some_fake_1836_title_10;The bountiful female form;;Die üppige Form der Frau;;;;;;;;;;;x
some_fake_1836_10;(reader discretion is advised) Female waist and hip sizes are apparently at an all-time minimum and maximum respectively. Continued on page 5;;;;;;;;;;;;;x
some_fake_1836_title_11;Editorial;;;;;;;;;;;;;x
some_fake_1836_11;This liberalism will destroy the western civilisation. Without strong government, people are going to starve and revert to barbarism to survive and feed their children. (see pg. 10);;;;;;;;;;;;;x
some_fake_1850_title_1;Our ancestors?;;Unsere Vorfahren?;;;;;;;;;;;;;x
some_fake_1850_1;Scientists amazed by "Nieuwemandal man" fossil discovery in the Frankish Rhineland.;;;;;;;;;;;;;;x
some_fake_1850_title_2;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1850_2;It is the assured opinion of this newspaper that animal-fat is the perfect substance for greasing bullet-cartridges. See how we reached this unshakable conclusion inside (see pg 10);;;;;;;;;;;;;x
some_fake_1850_title_3;Canals in decline;;Kanäle zerfallen;;;;;;;;;;;x
some_fake_1850_3;The once-proud canal system of our nation is seen to be in precipitous decline. What can be done? Continued on page 4;;;;;;;;;;;;;x
some_fake_1860_title_1;Lincoln assassinated;;;;;;;;;;;;;x
some_fake_1860_1;Abraham Lincoln assassinated in Ford’s theatre by John Wilkes Booth, shot dead at close range.;;;;;;;;;;;;;x
some_fake_1860_title_2;Lincoln fine;;;;;;;;;;;;;x
some_fake_1860_2;Failed assassination attempt of Abraham Lincoln by John Wilkes Booth, President throws assailant from balcony of Ford’s theatre.;;;;;;;;;;;;;x
some_fake_1860_title_3;Unsporting;;;;;;;;;;;;;x
some_fake_1860_3;Military Submarine invented, globally agreed to be “unfair” and banned for all time.;;;;;;;;;;;;;x
some_fake_1860_title_4;Healthcare;;Gesundheitswesen;;;;;;;;;;;x
some_fake_1860_4;Philomela Florentia founds school for nurses in the Ospitale di Saeth Tomos, Llondin.;;;;;;;;;;;;;x
some_fake_1860_title_5;Elements organised;;;;;;;;;;;;;x
some_fake_1860_5;Demetrius Mendelius invents periodic table, listing all 56 known elements.;;;;;;;;;;;;;x
some_fake_1860_title_6;Cycle fad spreads;;Rad-Trend nimmt zu;;;;;;;;;;;x
some_fake_1860_6;Bicycle craze sweeps western world, Velocipedes are must haves!;;;;;;;;;;;;;x
some_fake_1860_title_7;Petasus width at an all-time high;;;;;;;;;;;;;x
