;;;;;;;;;;;x;;;;
PROV21;Aqkinmiluk;;;;;;;;;;x;;;;
PROV32;Kistahpinanihk;;;;;;;;;;x;;;;
PROV33;Sakitawak;;;;;;;;;;x;;;;
PROV34;Sâskwatôn;;;;;;;;;;x;;;;
PROV39;Kinosao Sipi;;;;;;;;;;x;;;;
PROV40;Winnipegosis;;;;;;;;;;x;;;;
PROV50;Gaa-ministigweyaa;;;;;;;;;;x;;;;
PROV51;Baawiting;;;;;;;;;;x;;;;
PROV56;Cataraqui;;;;;;;;;;x;;;;
PROV58;Hochelaga;;;;;;;;;;x;;;;
PROV65;Kébec;;;;;;;;;;x;;;;
PROV66;Shacewanteku;;;;;;;;;;x;;;;
PROV67;Gespeg;;;;;;;;;;x;;;;
PROV68;Moldegård;;;;;;;;;;x;;;;
PROV69;Fosen;;;;;;;;;;x;;;;
PROV70;Moen;;;;;;;;;;x;;;;
PROV71;Karlsevne;;;;;;;;;;x;;;;
PROV72;Ny Njyardøy;;;;;;;;;;x;;;;
PROV73;Thrykarheim;;;;;;;;;;x;;;;
PROV74;Hop;;;;;;;;;;x;;;;
PROV75;Leifsbudir;;;;;;;;;;x;;;;
PROV77;Storøy;;;;;;;;;;x;;;;
PROV78;Itsuka;;;;;;;;;;x;;;;
PROV79;Asahinoataruie;;;;;;;;;;x;;;;
PROV81;Tokai Minato;;;;;;;;;;x;;;;
PROV82;Liksiyugun;;;;;;;;;;x;;;;
PROV83;Karumat;;;;;;;;;;x;;;;
PROV85;Yuki;;;;;;;;;;x;;;;
PROV86;Tanimura;;;;;;;;;;x;;;;
PROV91;Sosoni;;;;;;;;;;x;;;;
PROV92;Nimipumura;;;;;;;;;;x;;;;
PROV94;Tairashiro;;;;;;;;;;x;;;;
PROV95;Natakkoa;;;;;;;;;;x;;;;
PROV96;Hamakhaave;;;;;;;;;;x;;;;
PROV97;Pi'a-pa;;;;;;;;;;x;;;;
PROV100;To Naneesdizi;;;;;;;;;;x;;;;
PROV116;Echeedickkarshahshay;;;;;;;;;;x;;;;
PROV119;Tunkasila Sakpe;;;;;;;;;;x;;;;
PROV139;Naua Oreliansa;;;;;;;;;;x;;;;
PROV140;Bastonarroi;;;;;;;;;;x;;;;
PROV141;Lac-Carlis;;;;;;;;;;x;;;;
PROV142;Heliopolis;;;;;;;;;;x;;;;
PROV143;Petita-Ròca;;;;;;;;;;x;;;;
PROV144;Fònts Caudas;;;;;;;;;;x;;;;
PROV145;Sent-Juliàn;;;;;;;;;;x;;;;
PROV146;Sent Lozoïc;;;;;;;;;;x;;;;
PROV147;Plombvila;;;;;;;;;;x;;;;
PROV148;Nau Peitieus;;;;;;;;;;x;;;;
PROV149;Missoriopolis;;;;;;;;;;x;;;;
PROV150;Bellastella;;;;;;;;;;x;;;;
PROV151;Dels Monges;;;;;;;;;;x;;;;
PROV154;Ciutat dels Siaus;;;;;;;;;;x;;;;
PROV160;Chequamegon;;;;;;;;;;x;;;;
PROV161;Winnebago;;;;;;;;;;x;;;;
PROV163;Ciutat Jardin;;;;;;;;;;x;;;;
PROV164;Hochaunc;;;;;;;;;;x;;;;
PROV165;Kilatika;;;;;;;;;;x;;;;
PROV167;Cahokia;;;;;;;;;;x;;;;
PROV168;Lixàndria;;;;;;;;;;x;;;;
PROV169;Nazaret;;;;;;;;;;x;;;;
PROV170;Jehanisvila;;;;;;;;;;x;;;;
PROV171;Tippecanoe;;;;;;;;;;x;;;;
PROV172;Kekionga;;;;;;;;;;x;;;;
PROV173;Listrech;;;;;;;;;;x;;;;
PROV174;Sent Josep;;;;;;;;;;x;;;;
PROV176;Gran Talh;;;;;;;;;;x;;;;
PROV177;Pòrt Coire;;;;;;;;;;x;;;;
PROV178;Ciutat Selva;;;;;;;;;;x;;;;
PROV179;Chillicothe;;;;;;;;;;x;;;;
PROV180;Guayandat;;;;;;;;;;x;;;;
PROV181;Camp-Miami;;;;;;;;;;x;;;;
PROV182;Vila-Edecis;;;;;;;;;;x;;;;
PROV183;Sciriac;;;;;;;;;;x;;;;
PROV192;Natchei;;;;;;;;;;x;;;;
PROV193;Quigualtam;;;;;;;;;;x;;;;
PROV199;Sent-Agustin;;;;;;;;;;x;;;;
PROV211;Ricamont;;;;;;;;;;x;;;;
PROV213;Mahaskahod;;;;;;;;;;x;;;;
PROV214;Scigoa;;;;;;;;;;x;;;;
PROV215;Jordà;;;;;;;;;;x;;;;
PROV216;Danielis;;;;;;;;;;x;;;;
PROV217;L'Assumpcion;;;;;;;;;;x;;;;
PROV218;Canaués;;;;;;;;;;x;;;;
PROV219;Doeg;;;;;;;;;;x;;;;
PROV220;Potomac;;;;;;;;;;x;;;;
PROV221;Conestoga;;;;;;;;;;x;;;;
PROV222;Assateague;;;;;;;;;;x;;;;
PROV223;Shakamaxon;;;;;;;;;;x;;;;
PROV224;Lackawanna;;;;;;;;;;x;;;;
PROV225;Lycoming;;;;;;;;;;x;;;;
PROV226;Pashtank;;;;;;;;;;x;;;;
PROV227;Shenango;;;;;;;;;;x;;;;
PROV229;Ramapough;;;;;;;;;;x;;;;
PROV230;Rankokus;;;;;;;;;;x;;;;
PROV231;Unami;;;;;;;;;;x;;;;
PROV232;Manhattan;;;;;;;;;;x;;;;
PROV233;Metauhok;;;;;;;;;;x;;;;
PROV234;Pempotowwuthut;;;;;;;;;;x;;;;
PROV235;Chenango;;;;;;;;;;x;;;;
PROV236;Wenrohronon;;;;;;;;;;x;;;;
PROV237;Genundowa;;;;;;;;;;x;;;;
